cruciate ligament	ankle	trial-p2w-1
natural light display in high altitudes of the sky	aurora	trial-p2w-2
large and heavily armoured warship	battleship	trial-p2w-3
large ship	battleship	trial-p2w-4
a living organizm acking the power of locomotion	carrot	trial-p2w-5
rising to a higher altitude	climbing	trial-p2w-6
long term interest	currency	trial-p2w-7
secret agent hired by a state	eavesdropping	trial-p2w-8
moon covering the sun	eclipse	trial-p2w-9
object oriented programming	java	trial-p2w-10
cardiopulmonary exercise	jogging	trial-p2w-11
national research council of Brazil	lake	trial-p2w-12
weather forecast	pepper	trial-p2w-13
involuntary expulsion of air from the nose	sneezing	trial-p2w-14
celestial body of hot gases	star	trial-p2w-15
actor who plays a principal role	star	trial-p2w-16
night sky	stargazing	trial-p2w-17
rail transport	train	trial-p2w-18
egyptian left-wing party	war	trial-p2w-19
transparent liquid	water	trial-p2w-20
a post office, newspaper, hotel, and two markets	business	trial-p2w-21
a write-in campaign	pencil	trial-p2w-22
an era of amazing technology	advancement	trial-p2w-23
An oral history of Napster	history	trial-p2w-24
conquered by a blessed commander and army	military	trial-p2w-25
cool cutting-edge tech	neat	trial-p2w-26
died in prison	death	trial-p2w-27
Golden Age of Hollywood	California	trial-p2w-28
massive success	success	trial-p2w-29
Modern nations and ethnic groups	people	trial-p2w-30
more than 9000 shots	lots	trial-p2w-31
rejected in foreign-language markets	keyboard	trial-p2w-32
Selling your phone	selling	trial-p2w-33
Speed cameras coming to Lincoln Square	surveillance	trial-p2w-34
the lands of present-day Bulgaria	Albanian	trial-p2w-35
to rebel against the sultan and besiege Bursa	love	trial-p2w-36
Twenty years from now	thesaurus	trial-p2w-37
Whatever the mind of man can conceive and believe	dreams	trial-p2w-38
