After the interval between the two halves of a match teams swap ends of the field of play, in order to reduce any advantage that may be gained from wind or a slope to the pitch.	association football half time	trial-s2p-1
President Obama's push for military action to punish Syria's alleged use of chemical weapons clears its first hurdle in the US Congress.	average walk time for a 5k	trial-s2p-2
The hard disk could not be used due to a permanent damage on its surface.	bad sectors on hard disk	trial-s2p-3
jumping from a tall structure while connected to a large elastic cord.	bungee jumping	trial-s2p-4
Race bike frames are made by extremely strong and light fiber-reinforced polymer which contains carbon fibers.	carbon fiber bike frame	trial-s2p-5
The first plans for a metro system in Moscow date back to the Russian Empire but were postponed by World War I, the October Revolution and the Russian Civil War.	cold war era	trial-s2p-6
Historically, in countries where Communist Parties were struggling to attain state power, the formation of wartime alliances with non-Communist parties and wartime groups was enacted.	Communist Party of the Soviet Union	trial-s2p-7
Vladimir Ilyich Lenin served as the leader of the Russian SFSR from 1917, and then concurrently as Premier of the Soviet Union from 1922, until his death.	Communist Party of the Soviet Union	trial-s2p-8
Hydroelectricity is the production of electrical power through the use of the gravitational force of falling or flowing water.	electricity generated by hydropower	trial-s2p-9
Researchers at the space agency believe they have discovered vital clues that appeared to indicate that primitive aliens could be living on the moon.	Evidence for life in outer space	trial-s2p-10
This set of images from NASA's Cassini mission shows the difference in the amount of spray emanating from Saturn's moon Enceladus.	instructions for replacing laptop keyboard	trial-s2p-11
The US is going ahead with plans to deliver four F-16 fighter jets to Egypt despite the political unrest in the country.	keeping F-16 fighters in Jordan	trial-s2p-12
He lived for over a decade without any contact with the society.	living in isolation	trial-s2p-13
Glamor photography is also about fashionable visuals, however, with a difference.	old style portrait photography	trial-s2p-14
The knotted pile carpet probably originated in the 2nd millennium BC in West Asia, perhaps the Caspian Sea area or the Armenian Highland, although there is evidence of goats and sheep being sheared for wool and hair which was spun and woven as far back at the 7th millennium.	origins of knotted carpet	trial-s2p-15
Come and experience yourself: the best funparks and snowboarding slopes of the world.	snowboard holiday	trial-s2p-16
Saturn's interior is probably composed of a core of iron, nickel and rock, surrounded by a deep layer of metallic hydrogen, an intermediate layer of liquid hydrogen and liquid helium and an outer gaseous layer.	warm water aquarium plants	trial-s2p-17
Tourism is one of Italy's fastest growing and most profitable industrial sectors, with an estimated revenue of € 136.1 billion.	world heritage sites in italy	trial-s2p-18
A cat which was elected mayor of an Alaskan town 15 years ago has been badly injured in a dog attack.	attack on the town's mayor cat	trial-s2p-19
An assembly of ghosts, perhaps, but one which represents French values and legitimacy as much as or more than any political body.	important French values and legitimacy	trial-s2p-20
By the way I used @altonbrown's sushi rice recipe on this week's food blog post, Breakfast Sushi.	eating in bed	trial-s2p-21
Denmark has a temperate climate, characterised by mild winters, with mean temperatures in January and February of 0.0 °C (32.0 °F), and cool summers, with a mean temperature in August of 15.7 °C (60.3 °F).	boiling point	trial-s2p-22
He made several attempts to run away from home, finally succeeding, at age fourteen, by hiring on as a cabin boy and cook on a fishing schooner, but he soon returned home.	jobs on a boat	trial-s2p-23
I'm a multiple-time entrepreneur, living and working in the heart of Silicon Valley for the past quarter century.	mitral valve prolapse	trial-s2p-24
if you play with my hair super gently I'll probably fall in love with you.	the feeling of twirling your hair	trial-s2p-25
In 1770, British sea captain Lieutenant James Cook landed at Botany Bay on the Kurnell Peninsula.	fake moon landing	trial-s2p-26
Presumably the idea was to keep competitors guessing, but also to surprise and delight the faithful at new product reveals.	in-store product promotion	trial-s2p-27
Shell middens are found in coastal zones all over the world.	the near-universal costal shell middens	trial-s2p-28
The image sees the two brothers seemingly giving support to one another.	a portrait of brotherly love	trial-s2p-29
The one-hour series follows an optimistic high school teacher as he tries to transform the school's Glee Club and inspire a group of ragtag performers to make it to the biggest competition of them all: Nationals.	dreams of national competition	trial-s2p-30
There are several other methods of celestial navigation which will also provide position finding using sextant observations, such as the "Noon Sight", and the more archaic "Lunar Distance" method.	celestial navigation by sextant observation	trial-s2p-31
There is a way for the Tesla Model S to be recharged throughout the country faster than you could fill a gas tank.	mystery machine	trial-s2p-32
There is no chemical used to change color when you pee in the pool:.	color changing dyes	trial-s2p-33
They were found in a wooden crate lying by a rubbish bin near a primary school.	crates by the school's garbage pile	trial-s2p-34
We bought drugs on Silk Road's black market.	illegal goods	trial-s2p-35
When I asked Meiklejohn to try to trace Forbes’ transactions, I started by giving her the Bitcoin addresses associated with our account on the popular Bitcoin wallet service Coinbase–information could in theory be obtained by any investigating law enforcement agency that sends Coinbase a subpoena.	tracing monetary transactions	trial-s2p-36
