pot#n	basket%1:06:00::	basket#n#1	trial-w2s-1
brain#n	brain%1:18:00::	brain#n#4	trial-w2s-2
illuminated#a	bright%3:00:00::	bright#a#1	trial-w2s-3
fille#n	browser%1:18:00::	browser#n#1	trial-w2s-4
switch#n	button%1:06:01::	button#n#2	trial-w2s-5
parking_lot#n	car%1:06:01::	car#n#2	trial-w2s-6
beach#n	coast%1:17:00::	coast#n#1	trial-w2s-7
fife#n	concert%1:10:00::	concert#n#1	trial-w2s-8
far#a	distant%3:00:02::	distant#a#2	trial-w2s-9
horse#n	donkey%1:10:00::	donkey#n#1	trial-w2s-10
horse#n	donkey%1:05:00::	donkey#n#2	trial-w2s-11
autobus#n	drive%1:04:00::	drive#n#8	trial-w2s-12
fife#n	fife%1:06:00::	fife#n#1	trial-w2s-13
flute#n	fife%1:06:00::	fife#n#1	trial-w2s-14
fille#n	girl%1:18:02::	girl#n#2	trial-w2s-15
magnificent#a	gorgeous%5:00:00:beautiful:00	gorgeous#a#1	trial-w2s-16
fille#n	head%1:08:00::	head#n#1	trial-w2s-17
secret#a	hidden%5:00:00:concealed:00	hidden#a#3	trial-w2s-18
flexible#a	hot%3:00:01::	hot#a#1	trial-w2s-19
huddle_together#v	huddle_together%2:38:00::	huddle_together#v#1	trial-w2s-20
huddle_together#v	huddle%2:38:00::	huddle#v#2	trial-w2s-21
attack#v	invade%2:33:00::	invade#v#1	trial-w2s-22
surf#v	look_around%2:39:00::	look_around#v#1	trial-w2s-23
fille#n	man%1:18:00::	man#n#1	trial-w2s-24
fife#n	metal%1:27:00::	metal#n#1	trial-w2s-25
undergo#v	modify%2:30:10::	modify#v#3	trial-w2s-26
paper#n	news%1:10:00::	news#n#1	trial-w2s-27
opt#v	opt%2:31:00::	opt#v#1	trial-w2s-28
parking_lot#n	parking_lot%1:15:00::	parking_lot#1	trial-w2s-29
parking_lot#n	parking%1:23:00::	parking#n#1	trial-w2s-30
undergo#v	pass_through%2:38:02::	pass_through#v#2	trial-w2s-31
fife#n	piccolo%1:06:00::	piccolo#n#1	trial-w2s-32
enjoyable#a	pleasant%3:00:00::	pleasant#a#1	trial-w2s-33
happiness#n	pleasure%1:09:00::	pleasure#n#2	trial-w2s-34
electricity#n	plutonium%1:27:00::	Plutonium#n#1	trial-w2s-35
opt#v	prefer%2:41:00::	prefer#v#3	trial-w2s-36
black_hole#n	relativity%1:09:00::	relativity#n#1	trial-w2s-37
fearful#a	scary%5:00:00:alarming:00	scary#a#1	trial-w2s-38
opt#v	select%2:31:00::	select#v#1	trial-w2s-39
model#v	simulate%2:36:04::	simulate#v#1	trial-w2s-40
parking_lot#n	street%1:06:00::	street#n#1	trial-w2s-41
move#v	think%2:31:03::	think#v#2	trial-w2s-42
endanger#v	threaten%2:42:00::	threaten#v#1	trial-w2s-43
parking_lot#n	tomato%1:13:00::	tomato#n#1	trial-w2s-44
undergo#v	undergo%2:39:04::	undergo#v#1	trial-w2s-45
fife#n	whale%1:18:00::	whale#n#1	trial-w2s-46
broad#a	wide%3:00:02::	wide#a#5	trial-w2s-47
electricity#n	wire%1:06:01::	wire#n#2	trial-w2s-48
